Tanggal,Kode Produk,Nama Produk,Terjual,Alamat,Toko,Alamat ,Bulan,Tahun,Hari,Transaksi_ID
2025-01-01,j01,dampling,9.0,Alun Alun Utara,Bakso Jihan,,1,2025,1,2025-01-01_Bakso Jihan
2025-01-01,j02,bakso urat,11.0,Alun Alun Utara,Bakso Jihan,,1,2025,1,2025-01-01_Bakso Jihan
2025-01-01,j03,bakso tahu,17.0,Alun Alun Utara,Bakso Jihan,,1,2025,1,2025-01-01_Bakso Jihan
2025-01-01,j04,bakso telur,7.0,Alun Alun Utara,Bakso Jihan,,1,2025,1,2025-01-01_Bakso Jihan
2025-01-01,j05,bakso keju,20.0,Alun Alun Utara,Bakso Jihan,,1,2025,1,2025-01-01_Bakso Jihan
2025-02-01,j01,dampling,8.0,Alun Alun Utara,Bakso Jihan,,2,2025,1,2025-02-01_Bakso Jihan
2025-02-01,j02,bakso urat,18.0,Alun Alun Utara,Bakso Jihan,,2,2025,1,2025-02-01_Bakso Jihan
2025-02-01,j03,bakso tahu,16.0,Alun Alun Utara,Bakso Jihan,,2,2025,1,2025-02-01_Bakso Jihan
2025-02-01,j04,bakso telur,17.0,Alun Alun Utara,Bakso Jihan,,2,2025,1,2025-02-01_Bakso Jihan
2025-02-01,j05,bakso keju,11.0,Alun Alun Utara,Bakso Jihan,,2,2025,1,2025-02-01_Bakso Jihan
2025-03-01,j01,dampling,6.0,Alun Alun Utara,Bakso Jihan,,3,2025,1,2025-03-01_Bakso Jihan
2025-03-01,j02,bakso urat,10.0,Alun Alun Utara,Bakso Jihan,,3,2025,1,2025-03-01_Bakso Jihan
2025-03-01,j03,bakso tahu,6.0,Alun Alun Utara,Bakso Jihan,,3,2025,1,2025-03-01_Bakso Jihan
2025-03-01,j04,bakso telur,15.0,Alun Alun Utara,Bakso Jihan,,3,2025,1,2025-03-01_Bakso Jihan
2025-03-01,j05,bakso keju,12.0,Alun Alun Utara,Bakso Jihan,,3,2025,1,2025-03-01_Bakso Jihan
2025-04-01,j01,dampling,15.0,Alun Alun Utara,Bakso Jihan,,4,2025,1,2025-04-01_Bakso Jihan
2025-04-01,j02,bakso urat,7.0,Alun Alun Utara,Bakso Jihan,,4,2025,1,2025-04-01_Bakso Jihan
2025-04-01,j03,bakso tahu,16.0,Alun Alun Utara,Bakso Jihan,,4,2025,1,2025-04-01_Bakso Jihan
2025-04-01,j04,bakso telur,17.0,Alun Alun Utara,Bakso Jihan,,4,2025,1,2025-04-01_Bakso Jihan
2025-04-01,j05,bakso keju,20.0,Alun Alun Utara,Bakso Jihan,,4,2025,1,2025-04-01_Bakso Jihan
2025-05-01,j01,dampling,17.0,Alun Alun Utara,Bakso Jihan,,5,2025,1,2025-05-01_Bakso Jihan
